Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-05-24 12:39:34,false,"North Hertfordshire Running","5.85","394","00:30:37","152","177","3.1","151","240","5:14","0:59","58","66","1.21","8.5","10.1","281","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","20.0","No","00:03:52.8","6","29.0","34","20","43","--","--","--","--","--","--","00:30:29","00:31:08","58","94"
Running,2024-05-22 12:10:02,false,"North Hertfordshire Running","9.97","702","00:50:54","163","179","4.1","157","206","5:06","4:05","121","125","1.22","8.6","10.6","285","48.3% L / 51.7% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","17.0","No","00:04:34.0","10","29.0","36","24","46","--","--","--","--","--","--","00:50:21","00:53:05","62","150"
Running,2024-05-20 11:57:05,false,"North Hertfordshire Running","9.14","602","00:45:46","154","170","3.6","158","256","5:00","4:00","118","126","1.22","8.5","10.5","286","48.5% L / 51.5% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","20.0","No","00:00:41.8","10","31.0","35","11","43","--","--","--","--","--","--","00:45:15","00:47:00","68","156"
Running,2024-05-17 12:20:03,false,"North Hertfordshire Running","5.08","336","00:27:39","144","163","2.7","156","186","5:26","4:36","50","60","1.16","8.3","9.7","304","48.8% L / 51.2% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","25.0","No","00:00:31.5","6","30.0","32","19","39","--","--","--","--","--","--","00:27:14","00:27:44","66","103"
Running,2024-05-15 12:49:10,false,"North Hertfordshire Running","9.84","669","00:53:14","149","166","3.4","152","219","5:24","4:23","125","129","1.20","8.9","10.6","292","48.7% L / 51.3% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","23.0","No","00:04:18.5","10","30.0","35","19","46","--","--","--","--","--","--","00:53:03","00:53:14","67","160"
Running,2024-05-12 09:21:16,false,"Wiltshire - HIIT 10x 1 min 1 min","4.17","271","00:26:31","133","171","2.5","135","191","6:21","3:01","10","20","1.11","8.7","9.4","298","48.7% L / 51.3% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:00:01.2","22","29.0","28","13","40","--","--","--","--","--","--","00:26:25","00:26:31","28","47"
Running,2024-05-10 17:39:34,false,"North Hertfordshire Running","4.23","277","00:23:47","139","154","2.4","154","166","5:37","4:41","32","42","1.16","8.6","9.9","306","49.2% L / 50.8% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","25.0","No","00:01:26.5","5","31.0","27","15","38","--","--","--","--","--","--","00:23:45","00:23:47","66","90"
Cardio,2024-05-10 10:21:01,false,"Cardio","0.00","106","00:12:31","120","144","1.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","29.0","No","00:12:31","1","32.0","--","--","--","--","--","--","--","--","--","00:00:00","00:12:31","--","--"
Running,2024-05-08 12:15:41,false,"North Hertfordshire Running","9.83","688","00:48:48","165","180","4.1","158","256","4:58","3:56","103","116","1.25","8.4","10.5","283","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:03:54.3","10","29.0","37","29","44","--","--","--","--","--","--","00:48:13","00:49:12","65","155"
Running,2024-05-07 12:57:29,false,"North Hertfordshire Running","5.68","388","00:28:13","158","174","3.4","159","215","4:58","3:10","58","63","1.25","8.3","10.4","283","48.7% L / 51.3% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","21.0","No","00:02:57.0","6","29.0","36","11","46","--","--","--","--","--","--","00:27:53","00:28:13","57","93"
